img_name,mos,comments
j00zs3u6dr,5.972933292388916,
ytv70so3zb,5.424774646759033,
ia9890oozp,4.916385173797607,
xsj81ypx4a,5.6875834465026855,
f23994ghlh,5.0218024253845215,
olzx3kqzij,5.272703170776367,
pzhsjj4uxo,5.601551055908203,
2mb38w9n83,4.735558032989502,
cz4tby7pfx,5.716386795043945,
8099bltbox,6.321943759918213,
4fxgmbki70,6.030432224273682,
398sev5zra,5.49125862121582,
397dr2njq3,4.330448150634766,
8l24x7ueri,4.772983551025391,
0payszbeft,5.5228071212768555,
5706ozsu0u,4.378525257110596,
tvpgpvwu9y,4.203924655914307,
0dwf6bs8mo,5.197620868682861,
lzqw1192vq,4.43655252456665,
1usse6jnw8,5.356839656829834,
3ys9jbc76z,5.5926384925842285,
6xk1cs5xvk,5.36123514175415,
6qahjxl52p,5.455416679382324,
0c1d6e5u9i,5.281678199768066,
854gp2f72r,5.129910469055176,
jtfsyzka9g,5.747186183929443,
ak7flz7ynt,5.056588172912598,
1pjnu9u1ej,5.968515396118164,
79ve5uith4,5.970299243927002,
5azfddo3d4,4.993046283721924,
nr4su3ty9j,5.396609783172607,
i5greo4ux6,6.5373311042785645,
yfee52jxux,4.74950647354126,
bjua6xugqz,4.8341498374938965,
plpnsfpf09,5.6129937171936035,
k4gsnb1xa4,6.058264255523682,
6d4gsnukds,4.722920894622803,
grdtvyw6n6,6.3301005363464355,
cy08d3z2wl,5.306119441986084,
rx0t0rifvk,6.295007705688477,
a1yrt4w3nf,4.994783401489258,
n3o0h26ml5,6.198570728302002,
bys6pi3exn,5.490135192871094,
wq3h5st0re,5.076905727386475,
9tw8hc454g,3.965104579925537,
b2z46qc09u,5.782227039337158,
sd2nq13rcs,5.483286380767822,
kq961c1f1r,5.956783294677734,
6isbnl5tdh,5.50606107711792,
t2act0fcb4,5.013424396514893,
awqndazx6z,6.070039749145508,
9anuav2xm7,5.198939800262451,
8hr88qoklj,6.373607158660889,
3vlvyh3hrd,4.9562087059021,
h7shfbc0mn,4.231517314910889,
5bg9utxyyc,5.970733642578125,
76ua0edhrs,5.237777233123779,
4uy2zcnuih,5.687812328338623,
c5t1epztmp,6.1560797691345215,
8kpr5ztkcf,5.547195911407471,
73t0yxwwtp,5.496994972229004,
i48qriyhl3,5.043632984161377,
6p1vufbk8q,5.167444229125977,
gz4u8comt9,5.0123724937438965,
b7r0ste60m,4.761850833892822,
qezf1ks1ku,4.7294769287109375,
darbpjcjd2,5.789619445800781,
nyecp5jvlt,5.706099987030029,
r7cywbnc03,5.623066425323486,
nzu64xel3v,5.761582851409912,
zedakb2uuz,5.589259624481201,
skbezapkue,4.536209583282471,
kc90ulzlin,4.726806163787842,
veqqdoo50l,4.19813346862793,
b1bc58vw6o,5.922743797302246,
dqd4ga6cll,5.207372665405273,
cd0nlkn40e,4.906803131103516,
5cylynv9yk,4.9864373207092285,
bm1u93ng2t,5.592735290527344,
t0b1nsfofl,4.986848831176758,
dxxlp3xj5x,4.703195095062256,
ny98uwxbsx,4.658343315124512,
ox9xbno6i3,6.1697564125061035,
88j7visozp,5.036134243011475,
ktg2yrq0e8,5.214965343475342,
9gnb4t5vk6,4.841784954071045,
tda3h6qm1e,5.065933704376221,
8ph2by2gp9,5.752872943878174,
2yu0w9z1u4,4.9970269203186035,
399nxdxvjg,4.602660179138184,
at5ka9fq2t,5.566073894500732,
90s063gisb,5.221218109130859,
1auz3gv47s,5.596111297607422,
6cripww5xu,5.623764991760254,
88v66x0m9j,4.788168907165527,
4qvmfs6lo4,4.96985387802124,
dk1avzcmul,5.1521897315979,
fuliw54sbw,5.77642822265625,
q0xr1n25by,5.522034168243408,
6bb83tgo94,5.3934149742126465,
bppgq13wf8,5.215543746948242,
jvutb9v917,4.676625728607178,
u9ffwkilfg,4.878043174743652,
isycie10g3,5.259352207183838,
5q7dwg1wmr,5.660284519195557,
iknjbzaguy,5.404853820800781,
5jmf4s0u65,5.629688262939453,
xqhn47sg4j,5.400882244110107,
ufgxednrpn,5.621175765991211,
gped2mm7er,5.687126636505127,
o8nsjymb27,5.0670576095581055,
37oyd8ybf9,5.4038166999816895,
trhxo13or5,4.345556259155273,
5hkav5iqbz,5.616677284240723,
tmwcsn8xtb,5.372909069061279,
4qe70qpxpi,4.586153984069824,
4gz6uj4ouh,4.722769260406494,
bqavrw6xqo,4.3507981300354,
nfud8o7kfy,5.314570426940918,
wruhxy7tdf,4.587568759918213,
semt6roia9,5.205153465270996,
woast2vk2y,4.887566566467285,
7xx9e84vsd,5.340603828430176,
vefg431h7a,5.053565502166748,
d59rmtpm63,5.635949611663818,
3q2wffdqpk,4.809539794921875,
cgg2rznh5v,5.0850348472595215,
uee4pu7wre,5.611686706542969,
2248i5xf05,4.76953649520874,
1l29skd151,4.658320426940918,
w0avbcn814,5.170539855957031,
wuyklxsq1a,5.435381889343262,
yuz676nlp9,5.174761772155762,
bl7p2eimgk,4.845365524291992,
ozqq2a3idg,5.571527481079102,
lsxx8wsmj7,5.123389720916748,
93flgwcghl,5.3446269035339355,
ow1nyq7hja,5.506719589233398,
mnqhylulhs,4.191896915435791,
19k55293ns,5.420325756072998,
7w8w2xhl4w,5.631219863891602,
vp41htf5c8,5.489950656890869,
htwgpe6dqa,5.120182514190674,
xxncgoqubq,4.64877986907959,
w1t58cn455,5.541915416717529,
8eo4oawdt4,5.055874347686768,
41110jgazy,4.846243381500244,
brtn3gs4hu,4.005295276641846,
zs1s02iz3m,4.943213939666748,
vvikbwo842,5.497585773468018,
3ua8vkfczb,5.736787796020508,
21v38bgo4m,6.04116153717041,
a0yngzfeku,5.581233501434326,
yu0igwaqjz,6.3062744140625,
vvqizv9jt5,5.818239688873291,
zhyvbolxyt,5.127697944641113,
adhbbmlihq,5.3989362716674805,
ti7012b3jr,4.7596964836120605,
r4luuxnsc3,6.023956775665283,
